lat,lon,coastline,grid.for.model,reg,gridID,plotted.Var1,plotted.Var2,lat.sq1,lat.sq2,lon.sq1,lon.sq2,sourceID
40.5,121.5,1,1,1_Asia,31410,1,2,40,41,121,122,nonSource
39.5,121.5,1,1,1_Asia,31411,2,2,39,40,121,122,nonSource
38.5,121.5,1,1,1_Asia,31412,3,2,38,39,121,122,nonSource
37.5,121.5,1,1,1_Asia,31413,4,2,37,38,121,122,nonSource
36.5,121.5,1,1,1_Asia,31414,5,2,36,37,121,122,nonSource
32.5,121.5,1,1,1_Asia,31418,6,2,32,33,121,122,nonSource
31.5,121.5,1,1,1_Asia,31419,7,2,31,32,121,122,nonSource
30.5,121.5,1,1,1_Asia,31420,8,2,30,31,121,122,nonSource
40.5,122.5,1,1,1_Asia,31535,9,2,40,41,122,123,nonSource
39.5,122.5,1,1,1_Asia,31536,10,2,39,40,122,123,nonSource
37.5,122.5,1,1,1_Asia,31538,11,2,37,38,122,123,nonSource
36.5,122.5,1,1,1_Asia,31539,12,2,36,37,122,123,nonSource
30.5,122.5,1,1,1_Asia,31545,13,2,30,31,122,123,nonSource
39.5,123.5,1,1,1_Asia,31661,14,2,39,40,123,124,nonSource
40.5,124.5,1,1,1_Asia,31785,15,2,40,41,124,125,nonSource
39.5,124.5,1,1,1_Asia,31786,16,2,39,40,124,125,nonSource
38.5,124.5,1,1,1_Asia,31787,17,2,38,39,124,125,nonSource
37.5,124.5,1,1,1_Asia,31788,18,2,37,38,124,125,nonSource
39.5,125.5,1,1,1_Asia,31911,19,2,39,40,125,126,nonSource
38.5,125.5,1,1,1_Asia,31912,20,2,38,39,125,126,nonSource
37.5,125.5,1,1,1_Asia,31913,21,2,37,38,125,126,nonSource
34.5,125.5,1,1,1_Asia,31916,22,2,34,35,125,126,nonSource
37.5,126.5,1,1,1_Asia,32038,1,3,37,38,126,127,nonSource
36.5,126.5,1,1,1_Asia,32039,2,3,36,37,126,127,nonSource
35.5,126.5,1,1,1_Asia,32040,3,3,35,36,126,127,nonSource
34.5,126.5,1,1,1_Asia,32041,4,3,34,35,126,127,nonSource
