"species","type","comparison","post","oob","firstmod","secmod","winner","loserPost","shipPost","admixPost","MLPost"
"Haminoea_japonica","pca","AdmixVML",0.577171428571429,0.186108657743959,"Admix","ML","ML",0.422828571428571,NA,0.422828571428571,0.577171428571429
"Haminoea_japonica","untrans","AdmixVML",0.55299,0.156855085263945,"Admix","ML","ML",0.44701,NA,0.44701,0.55299
"Haminoea_japonica","pca","ShipVadmix",0.774782182539682,0.0120271635954929,"Ship","admix","admix",0.225217817460318,0.225217817460318,0.774782182539682,NA
"Haminoea_japonica","untrans","ShipVadmix",0.889235,0.00929758115549175,"Ship","admix","admix",0.110765,0.110765,0.889235,NA
"Haminoea_japonica","pca","ShipVML",0.795030300834431,0.00993797961082064,"Ship","ML","ML",0.204969699165569,0.204969699165569,NA,0.795030300834431
"Haminoea_japonica","untrans","ShipVML",0.894755,0.00585297375218637,"Ship","ML","ML",0.105245,0.105245,NA,0.894755
"Haminoea_japonica","pca","AdmixVML",0.591953319327732,0.186117150168716,"Admix","ML","ML",0.408046680672268,NA,0.408046680672268,0.591953319327732
"Haminoea_japonica","untrans","AdmixVML",0.546643333333334,0.157240075186267,"Admix","ML","ML",0.453356666666666,NA,0.453356666666666,0.546643333333334
"Haminoea_japonica","pca","ShipVadmix",0.760314712626555,0.0120536093769185,"Ship","admix","admix",0.239685287373445,0.239685287373445,0.760314712626555,NA
"Haminoea_japonica","untrans","ShipVadmix",0.882648333333333,0.0093126930305921,"Ship","admix","admix",0.117351666666667,0.117351666666667,0.882648333333333,NA
"Haminoea_japonica","pca","ShipVML",0.802907233044733,0.00990024283614504,"Ship","ML","ML",0.197092766955267,0.197092766955267,NA,0.802907233044733
"Haminoea_japonica","untrans","ShipVML",0.897663333333333,0.00585863426838772,"Ship","ML","ML",0.102336666666667,0.102336666666667,NA,0.897663333333333
"Haminoea_japonica","pca","AdmixVML",0.598795753968254,0.186148289059492,"Admix","ML","ML",0.401204246031746,NA,0.401204246031746,0.598795753968254
"Haminoea_japonica","untrans","AdmixVML",0.542591666666667,0.15723158276151,"Admix","ML","ML",0.457408333333333,NA,0.457408333333333,0.542591666666667
"Haminoea_japonica","pca","ShipVadmix",0.782872995337995,0.0120082737516174,"Ship","admix","admix",0.217127004662005,0.217127004662005,0.782872995337995,NA
"Haminoea_japonica","untrans","ShipVadmix",0.891496666666666,0.00928058029600385,"Ship","admix","admix",0.108503333333334,0.108503333333334,0.891496666666666,NA
"Haminoea_japonica","pca","ShipVML",0.799550714285714,0.00991533754601528,"Ship","ML","ML",0.200449285714286,0.200449285714286,NA,0.799550714285714
"Haminoea_japonica","untrans","ShipVML",0.907638333333333,0.00589071052686198,"Ship","ML","ML",0.092361666666667,0.092361666666667,NA,0.907638333333333
"Haminoea_japonica","pca","AdmixVML",0.581140505050506,0.186173766333764,"Admix","ML","ML",0.418859494949494,NA,0.418859494949494,0.581140505050506
"Haminoea_japonica","untrans","AdmixVML",0.544828333333333,0.156999456484816,"Admix","ML","ML",0.455171666666667,NA,0.455171666666667,0.544828333333333
"Haminoea_japonica","pca","ShipVadmix",0.760015097680098,0.0120196076579427,"Ship","admix","admix",0.239984902319902,0.239984902319902,0.760015097680098,NA
"Haminoea_japonica","untrans","ShipVadmix",0.883276666666667,0.00925602349896578,"Ship","admix","admix",0.116723333333333,0.116723333333333,0.883276666666667,NA
"Haminoea_japonica","pca","ShipVML",0.806088603896104,0.00989835599741126,"Ship","ML","ML",0.193911396103896,0.193911396103896,NA,0.806088603896104
"Haminoea_japonica","untrans","ShipVML",0.901411666666667,0.00586429478458906,"Ship","ML","ML",0.0985883333333329,0.0985883333333329,NA,0.901411666666667
"Haminoea_japonica","pca","AdmixVML",0.588129996669997,0.186114319360464,"Admix","ML","ML",0.411870003330003,NA,0.411870003330003,0.588129996669997
