indID,hap,popID,lat,lon
Willa_152,R7,Willa,46.72777778,-123.9516667
Willa_153,R7,Willa,46.72777778,-123.9516667
Willa_154,R7,Willa,46.72777778,-123.9516667
Willa_155,R7,Willa,46.72777778,-123.9516667
Willa_156,R7,Willa,46.72777778,-123.9516667
Willa_157,R7,Willa,46.72777778,-123.9516667
Willa_158,R7,Willa,46.72777778,-123.9516667
Willa_159,R7,Willa,46.72777778,-123.9516667
Willa_160,R7,Willa,46.72777778,-123.9516667
Willa_161,R7,Willa,46.72777778,-123.9516667
Willa_162,R7,Willa,46.72777778,-123.9516667
Willa_163,R7,Willa,46.72777778,-123.9516667
Neta_164,R7,Neta,45.41027778,-123.9352778
Neta_165,R7,Neta,45.41027778,-123.9352778
Neta_166,R7,Neta,45.41027778,-123.9352778
Neta_167,R7,Neta,45.41027778,-123.9352778
Neta_168,R7,Neta,45.41027778,-123.9352778
Neta_169,R7,Neta,45.41027778,-123.9352778
Neta_170,R7,Neta,45.41027778,-123.9352778
Neta_171,R7,Neta,45.41027778,-123.9352778
Neta_172,R7,Neta,45.41027778,-123.9352778
Neta_173,R7,Neta,45.41027778,-123.9352778
Neta_174,R7,Neta,45.41027778,-123.9352778
Neta_175,R7,Neta,45.41027778,-123.9352778
Yaqu_176,R7,Yaqu,44.58083333,-123.9947222
Yaqu_177,R7,Yaqu,44.58083333,-123.9947222
Yaqu_178,R7,Yaqu,44.58083333,-123.9947222
Yaqu_179,R7,Yaqu,44.58083333,-123.9947222
Yaqu_180,R7,Yaqu,44.58083333,-123.9947222
Yaqu_181,R7,Yaqu,44.58083333,-123.9947222
Yaqu_182,R7,Yaqu,44.58083333,-123.9947222
Yaqu_183,R7,Yaqu,44.58083333,-123.9947222
Yaqu_184,R7,Yaqu,44.58083333,-123.9947222
Yaqu_185,R7,Yaqu,44.58083333,-123.9947222
Yaqu_186,R7,Yaqu,44.58083333,-123.9947222
Yaqu_187,R7,Yaqu,44.58083333,-123.9947222
Coos_188,R7,Coos,43.31472222,-124.3191667
Coos_189,R7,Coos,43.31472222,-124.3191667
Coos_190,R7,Coos,43.31472222,-124.3191667
Coos_191,R7,Coos,43.31472222,-124.3191667
Coos_192,R7,Coos,43.31472222,-124.3191667
Coos_193,R7,Coos,43.31472222,-124.3191667
Coos_194,R7,Coos,43.31472222,-124.3191667
Coos_195,R7,Coos,43.31472222,-124.3191667
Coos_196,R7,Coos,43.31472222,-124.3191667
Coos_197,R7,Coos,43.31472222,-124.3191667
Coos_198,R7,Coos,43.31472222,-124.3191667
Coos_199,R7,Coos,43.31472222,-124.3191667
Humb_200,R7,Humb,40.85805556,-124.1575
Humb_201,R7,Humb,40.85805556,-124.1575
Humb_202,R7,Humb,40.85805556,-124.1575
Nan_203,R7,Nan,37.20305556,136.9066667
Nan_204,R7,Nan,37.20305556,136.9066667
Nan_205,R7,Nan,37.20305556,136.9066667
Nan_206,R7,Nan,37.20305556,136.9066667
Nan_207,R7,Nan,37.20305556,136.9066667
