pop,file,mapped,unmapped,mappedMQ0,id,mappedProp,mappedPropMQ0,fullpath,lib,paralogRemoved,PopID.alt,truepop,Abbreviation,Region,Date_of_Collection,Latitude,Longitude,Collector,Notes
AKK,all.AKK_16_bwa.np.bam,2030397,211605,543788,AKK_16,0.906,0.268,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_16_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_17_bwa.bam,2600899,210908,813972,AKK_17,0.925,0.313,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_17_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_17_bwa.np.bam,2030444,210908,548789,AKK_17,0.906,0.27,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_17_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_18_bwa.bam,2611078,213448,810349,AKK_18,0.924,0.31,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_18_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_18_bwa.np.bam,2050303,213448,554597,AKK_18,0.906,0.27,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_18_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_19_bwa.bam,2280966,207286,743572,AKK_19,0.917,0.326,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_19_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_19_bwa.np.bam,1792702,207286,513652,AKK_19,0.896,0.287,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_19_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_20_bwa.bam,3139552,259812,965054,AKK_20,0.924,0.307,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_20_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_20_bwa.np.bam,2444957,259812,635226,AKK_20,0.904,0.26,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_20_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_21_bwa.bam,2142131,188117,644212,AKK_21,0.919,0.301,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_21_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_21_bwa.np.bam,1680603,188117,429894,AKK_21,0.899,0.256,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_21_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_23_bwa.bam,2414563,209691,786983,AKK_23,0.92,0.326,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_23_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_23_bwa.np.bam,1898600,209691,545593,AKK_23,0.901,0.287,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_23_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_24_bwa.bam,2688688,193277,842627,AKK_24,0.933,0.313,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_24_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_24_bwa.np.bam,2075425,193277,563349,AKK_24,0.915,0.271,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_24_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_25_bwa.bam,2477200,169969,801610,AKK_25,0.936,0.324,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_25_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_25_bwa.np.bam,1911546,169969,530213,AKK_25,0.918,0.277,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_25_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_26_bwa.bam,2862619,239313,962608,AKK_26,0.923,0.336,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_26_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_26_bwa.np.bam,2255719,239313,676089,AKK_26,0.904,0.3,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_26_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_27_bwa.bam,2589494,224332,834449,AKK_27,0.92,0.322,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_27_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_27_bwa.np.bam,2029968,224332,574120,AKK_27,0.9,0.283,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_27_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_29_bwa.bam,138332,10850,41531,AKK_29,0.927,0.3,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_29_bwa.bam,2020,FALSE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
AKK,all.AKK_29_bwa.np.bam,108540,10850,27992,AKK_29,0.909,0.258,/home/stranda/projects/oyster/sotka/roslin/bwa/out/all.AKK_29_bwa.np.bam,2020,TRUE,,AKK,Akkeshi,Japan,August2017,43.021313,144.836622,Yorisue/Nakaoka,
ALA,ALA_08.comb_bwa.bam,3847298,304231,1218571,ALA_08,0.927,0.317,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_08.comb_bwa.bam,2021,FALSE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_08.comb_bwa.np.bam,2995246,304231,807837,ALA_08,0.908,0.27,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_08.comb_bwa.np.bam,2021,TRUE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_15.comb_bwa.bam,3567972,264094,1079979,ALA_15,0.931,0.303,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_15.comb_bwa.bam,2021,FALSE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_15.comb_bwa.np.bam,2760860,264094,707887,ALA_15,0.913,0.256,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_15.comb_bwa.np.bam,2021,TRUE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_17.comb_bwa.bam,4170753,321361,1299208,ALA_17,0.928,0.312,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_17.comb_bwa.bam,2021,FALSE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_17.comb_bwa.np.bam,3232531,321361,840860,ALA_17,0.91,0.26,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_17.comb_bwa.np.bam,2021,TRUE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_20.comb_bwa.bam,3740060,270393,1097238,ALA_20,0.933,0.293,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_20.comb_bwa.bam,2021,FALSE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_20.comb_bwa.np.bam,2890593,270393,717915,ALA_20,0.914,0.248,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_20.comb_bwa.np.bam,2021,TRUE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_24.comb_bwa.bam,3323797,223933,1046855,ALA_24,0.937,0.315,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_24.comb_bwa.bam,2021,FALSE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_24.comb_bwa.np.bam,2566169,223933,688725,ALA_24,0.92,0.268,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_24.comb_bwa.np.bam,2021,TRUE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_25.comb_bwa.bam,4293108,329078,1316264,ALA_25,0.929,0.307,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_25.comb_bwa.bam,2021,FALSE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_25.comb_bwa.np.bam,3306632,329078,860750,ALA_25,0.909,0.26,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_25.comb_bwa.np.bam,2021,TRUE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_34.comb_bwa.bam,4663187,304673,1493247,ALA_34,0.939,0.32,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_34.comb_bwa.bam,2021,FALSE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_34.comb_bwa.np.bam,3609459,304673,978811,ALA_34,0.922,0.271,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_34.comb_bwa.np.bam,2021,TRUE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_10.comb_bwa.bam,4379737,326502,1326631,ALA_10,0.931,0.303,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_10.comb_bwa.bam,2021,FALSE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALA,ALA_10.comb_bwa.np.bam,3431099,326502,880808,ALA_10,0.913,0.257,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALA_10.comb_bwa.np.bam,2021,TRUE,ALB,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
ALB,ALB_02.comb_bwa.bam,3988805,304579,1256756,ALB_02,0.929,0.315,/home/stranda/projects/oyster/sotka/roslin/bwa/out/ALB_02.comb_bwa.bam,2021,FALSE,ALA,ALB,Alamitos Bay LA County - 2nd street,soCal,,33.758575,-118.12977,Zacherl,
