Locality codea	Collection locality (collection date)	Origin	"Haplotyes (No. samples, Accession No.b)"	Haplotype	Number	Name1	Name2	Country	lat	lon
43	"Takeno, Hyogo Pref., Japan (8 May 2005)"	"Hanyuda et al., 2016"	"H12 (1, AB607180/AB607813), H15 (1, AB607178/AB607818), H17 (1, AB607185/AB607818), H21 (1, AB607185/AB607816), H38 (1, AB607185/AB607824)"	H21	1	Takeno	Hyogo Pref.	Japan	35.649961	134.756376
43	"Takeno, Hyogo Pref., Japan (8 May 2005)"	"Hanyuda et al., 2016"	"H12 (1, AB607180/AB607813), H15 (1, AB607178/AB607818), H17 (1, AB607185/AB607818), H21 (1, AB607185/AB607816), H38 (1, AB607185/AB607824)"	H38	1	Takeno	Hyogo Pref.	Japan	35.649961	134.756376
44	"Amagasaki, Hyogo Pref., Japan (Mar. 2005)"	"Hanyuda et al., 2016"	"H41 (1, AB607185/AB607825)"	H41	1	Amagasaki	Hyogo Pref.	Japan	34.728900	135.412989
45	"Kobe Port, Hyogo Pref., Japan (17 Nov. 2005, 25 may 2005)"	"Hanyuda et al., 2016"	"H30 (2, AB607185/AB607820), H33 (1)"	H30	2	Kobe Port	Hyogo Pref.	Japan	34.666279	135.218887
46	"Iwaya, Awaji I., Hyogo Pref., Japan (26 May 2005, 28 Apr. 2005)"	"Hanyuda et al., 2016"	"H32 (1, AB607185/AB607822), H33 (1), H41 (1)"	H32	1	Iwaya	Awaji I.	Japan	34.599319	135.011518
46	"Iwaya, Awaji I., Hyogo Pref., Japan (26 May 2005, 28 Apr. 2005)"	"Hanyuda et al., 2016"	"H32 (1, AB607185/AB607822), H33 (1), H41 (1)"	H33	1	Iwaya	Awaji I.	Japan	34.599319	135.011518
46	"Iwaya, Awaji I., Hyogo Pref., Japan (26 May 2005, 28 Apr. 2005)"	"Hanyuda et al., 2016"	"H32 (1, AB607185/AB607822), H33 (1), H41 (1)"	H41	1	Iwaya	Awaji I.	Japan	34.599319	135.011518
47	"Akashi, Hyogo Pref., Japan (28 Apr. 2005)"	"Hanyuda et al., 2016"	H32 (1)	H32	1	Akashi	Hyogo Pref.	Japan	34.683264	134.947693
48	"Yura, Sumoto, Hyogo Pref., Japan (25 Apr. 2005)"	"Hanyuda et al., 2016"	H7 (2)	H7	1	Yura	Sumoto	Japan	34.280936	134.950550
49	"Maruyama, Minamiawaji, Hyogo Pref., Japan (25 Apr. 2005, 12 May 2005)"	"Hanyuda et al., 2016"	"H30 (1), H42 (1)"	H30	2	Maruyama	Minamiawaji	Japan	34.291671	134.659030
50	"Ie-shima, Himeji, Hyogo Pref., Japan (10 May 2005)"	"Hanyuda et al., 2016"	H32 (1)	H42	1	Ie-shima	Himeji	Japan	34.717564	134.634189
50	"Ie-shima, Himeji, Hyogo Pref., Japan (10 May 2005)"	"Hanyuda et al., 2016"	H32 (1)	H32	1	Ie-shima	Himeji	Japan	34.717564	134.634189
51	"Oki Island, Shimane Pref., Japan (Aug. 2006)"	"Hanyuda et al., 2016"	"H11 (1, AB607180/AB607811), H14 (1, AB607180/AB607818), H40 (1, AB607180/AB607825)"	H11	1	Oki Island	Shimane Pref.	Japan	36.161605	133.270519
51	"Oki Island, Shimane Pref., Japan (Aug. 2006)"	"Hanyuda et al., 2016"	"H11 (1, AB607180/AB607811), H14 (1, AB607180/AB607818), H40 (1, AB607180/AB607825)"	H14	1	Oki Island	Shimane Pref.	Japan	36.161605	133.270519
51	"Oki Island, Shimane Pref., Japan (Aug. 2006)"	"Hanyuda et al., 2016"	"H11 (1, AB607180/AB607811), H14 (1, AB607180/AB607818), H40 (1, AB607180/AB607825)"	H40	1	Oki Island	Shimane Pref.	Japan	36.161605	133.270519
52	"Nakaumi, Matsue, Shimane Pref., Japan (13 Jun. 2006)"	"Hanyuda et al., 2016"	H12 (3)	H12	3	Nakaumi	Matsue	Japan	35.474630	133.194394
53	"Izumo, Shimane Pref., Japan (30 Mar. 2006)"	"Hanyuda et al., 2016"	H12 (1)	H12	1	Izumo	Shimane Pref.	Japan	35.366889	132.754883
54	"Tonoura, Hamada, Shimane Pref., Japan (30 Mar. 2006)"	"Hanyuda et al., 2016"	"H13 (1, AB607180/AB607816), H17 (1), H30 (1)"	H13	1	Tonoura	Hamada	Japan	34.403937	133.203851
54	"Tonoura, Hamada, Shimane Pref., Japan (30 Mar. 2006)"	"Hanyuda et al., 2016"	"H13 (1, AB607180/AB607816), H17 (1), H30 (1)"	H17	1	Tonoura	Hamada	Japan	34.403937	133.203851
54	"Tonoura, Hamada, Shimane Pref., Japan (30 Mar. 2006)"	"Hanyuda et al., 2016"	"H13 (1, AB607180/AB607816), H17 (1), H30 (1)"	H30	1	Tonoura	Hamada	Japan	34.403937	133.203851
55	"Yashiro Is., Yamaguchi Pref., Japan (12 Jun. 2005)"	"Hanyuda et al., 2016"	H38 (1)	H38	1	Yashiro Is.	Yamaguchi Pref.	Japan	33.912194	132.249072
56	"Onyu Is., Saeki, Oita Pref., Japan (6 Jun. 2005)"	"Hanyuda et al., 2016"	"H46 (1, AB607177/AB607828)"	H46	1	Onyu Is.	Saeki	Japan	34.438250	132.302395
57	"Tsuyazaki, Fukutsu, Fukuoka Pref., Japan (27 Apr. 2006, 13 Jul. 2006)"	"Hanyuda et al., 2016"	"H1 (1, AB607175/AB607810), H18 (1, AB607183/AB607818), H32 (1)"	H1	1	Tsuyazaki	Fukutsu	Japan	33.787522	130.467358
58	"Shikano-shima, Fukuoka Pref., Japan (29 Mar. 2006)"	"Hanyuda et al., 2016"	"H18 (1), H31 (1, AB607183/AB607820)"	H18	1	Shikano-shima	Fukuoka Pref.	Japan	33.662650	130.314252
58	"Shikano-shima, Fukuoka Pref., Japan (29 Mar. 2006)"	"Hanyuda et al., 2016"	"H18 (1), H31 (1, AB607183/AB607820)"	H31	1	Shikano-shima	Fukuoka Pref.	Japan	33.662650	130.314252
59	"Keyano-oto, Shima, Fukuoka Pref., Japan (26 Apr. 2006)"	"Hanyuda et al., 2016"	"H28 (1, AB607183/AB607809)"	H28	1	Keyano-oto	Shima	Japan	34.341184	136.819645
60	"Imari, Saga Pref., Japan (9 Jun. 2005)"	"Hanyuda et al., 2016"	"H39 (1, AB607180/AB607824), H44 (1)"	H39	1	Imari	Saga Pref.	Japan	33.264456	129.880844
60	"Imari, Saga Pref., Japan (9 Jun. 2005)"	"Hanyuda et al., 2016"	"H39 (1, AB607180/AB607824), H44 (1)"	H44	1	Imari	Saga Pref.	Japan	33.264456	129.880844
61	"Teguma, Nagasaki Pref., Japan (6 Jun. 2005)"	"Hanyuda et al., 2016"	H32 (1)	H32	1	Teguma	Nagasaki Pref.	Japan	32.712758	129.846463
62	"Kuranomoto, Nagashima, Kagoshima Pref., Japan (28 Mar. 2006)"	"Hanyuda et al., 2016"	"H38 (1), H48 (1, AB607177/AB607824)"	H38	1	Kuranomoto	Nagashima	Japan	32.183459	130.166311
